demo_npi,series,value
1457435760,peer_group,13667.37
1457435760,peer_group,10984.99
1457435760,peer_group,8981.09
1457435760,peer_group,8917.55
1457435760,peer_group,8815.68
1457435760,peer_group,7266.88
1457435760,peer_group,5710.11
1457435760,peer_group,5587.34
1457435760,peer_group,5188.34
1457435760,peer_group,5072.58
1457435760,peer_group,4969.51
1457435760,peer_group,4559.46
1457435760,peer_group,3057.76
1457435760,peer_group,2866.84
1457435760,peer_group,2852.07
1457435760,peer_group,2482.04
1457435760,peer_group,2425.00
1457435760,peer_group,2392.95
1457435760,peer_group,2369.00
1457435760,peer_group,2340.83
1457435760,peer_group,2296.73
1457435760,peer_group,2229.57
1457435760,peer_group,2204.47
1457435760,peer_group,2121.25
1457435760,peer_group,2117.39
1457435760,peer_group,2113.18
1457435760,peer_group,2001.66
1457435760,peer_group,1879.51
1457435760,peer_group,1851.09
1457435760,peer_group,1813.02
1457435760,peer_group,1756.44
1457435760,peer_group,1724.96
1457435760,peer_group,1699.92
1457435760,peer_group,1512.43
1457435760,peer_group,1495.21
1457435760,peer_group,1485.81
1457435760,peer_group,1480.03
1457435760,peer_group,1475.31
1457435760,peer_group,1474.76
1457435760,peer_group,1465.03
1457435760,peer_group,1435.83
1457435760,peer_group,1403.94
1457435760,peer_group,1403.77
1457435760,peer_group,1347.06
1457435760,peer_group,1334.59
1457435760,peer_group,1318.26
1457435760,peer_group,1295.59
1457435760,peer_group,1286.95
1457435760,peer_group,1241.29
1457435760,peer_group,1190.71
1457435760,peer_group,1190.20
1457435760,peer_group,1187.41
1457435760,peer_group,1182.86
1457435760,peer_group,1180.64
1457435760,peer_group,1180.23
1457435760,peer_group,1140.26
1457435760,peer_group,1113.05
1457435760,peer_group,1110.98
1457435760,peer_group,1104.57
1457435760,peer_group,1104.28
1457435760,peer_group,1098.01
1457435760,peer_group,1085.70
1457435760,peer_group,1081.65
1457435760,peer_group,1071.63
1457435760,peer_group,1070.05
1457435760,peer_group,1043.88
1457435760,peer_group,1026.24
1457435760,peer_group,989.55
1457435760,peer_group,968.26
1457435760,peer_group,920.57
1457435760,peer_group,911.72
1457435760,peer_group,901.18
1457435760,peer_group,898.80
1457435760,peer_group,892.12
1457435760,peer_group,891.23
1457435760,peer_group,875.29
1457435760,peer_group,871.58
1457435760,peer_group,868.96
1457435760,peer_group,864.30
1457435760,peer_group,856.14
1457435760,peer_group,835.66
1457435760,peer_group,832.96
1457435760,peer_group,831.97
1457435760,peer_group,830.33
1457435760,peer_group,826.54
1457435760,peer_group,821.83
1457435760,peer_group,767.05
1457435760,peer_group,765.88
1457435760,peer_group,761.58
1457435760,peer_group,745.63
1457435760,peer_group,734.61
1457435760,peer_group,734.24
1457435760,peer_group,730.64
1457435760,peer_group,728.95
1457435760,peer_group,724.63
1457435760,peer_group,718.82
1457435760,peer_group,716.54
1457435760,peer_group,712.76
1457435760,peer_group,709.35
1457435760,peer_group,702.26
1457435760,peer_group,674.11
1457435760,peer_group,669.88
1457435760,peer_group,655.58
1457435760,peer_group,644.93
1457435760,peer_group,637.80
1457435760,peer_group,620.90
1457435760,peer_group,620.73
1457435760,peer_group,620.29
1457435760,peer_group,619.24
1457435760,peer_group,614.48
1457435760,peer_group,591.20
1457435760,peer_group,574.53
1457435760,peer_group,569.95
1457435760,peer_group,569.79
1457435760,peer_group,565.03
1457435760,peer_group,550.38
1457435760,peer_group,550.34
1457435760,peer_group,540.14
1457435760,peer_group,537.19
1457435760,peer_group,495.33
1457435760,peer_group,487.41
1457435760,peer_group,483.98
1457435760,peer_group,469.03
1457435760,peer_group,464.16
1457435760,peer_group,452.33
1457435760,peer_group,430.61
1457435760,peer_group,429.35
1457435760,peer_group,426.08
1457435760,peer_group,420.58
1457435760,peer_group,419.18
1457435760,peer_group,417.83
1457435760,peer_group,406.42
1457435760,peer_group,403.64
1457435760,peer_group,377.46
1457435760,peer_group,371.56
1457435760,peer_group,370.21
1457435760,peer_group,366.06
1457435760,peer_group,362.33
1457435760,peer_group,361.74
1457435760,peer_group,358.77
1457435760,peer_group,351.00
1457435760,peer_group,349.07
1457435760,peer_group,346.71
1457435760,peer_group,345.10
1457435760,peer_group,343.42
1457435760,peer_group,337.32
1457435760,peer_group,332.25
1457435760,peer_group,327.36
1457435760,peer_group,320.69
1457435760,peer_group,307.97
1457435760,peer_group,302.57
1457435760,peer_group,289.54
1457435760,peer_group,276.17
1457435760,peer_group,275.03
1457435760,peer_group,273.83
1457435760,peer_group,273.81
1457435760,peer_group,272.28
1457435760,peer_group,266.06
1457435760,peer_group,264.78
1457435760,peer_group,263.53
1457435760,peer_group,260.86
1457435760,peer_group,259.61
1457435760,peer_group,258.43
1457435760,peer_group,254.51
1457435760,peer_group,244.72
1457435760,peer_group,244.56
1457435760,peer_group,242.45
1457435760,peer_group,239.88
1457435760,peer_group,237.03
1457435760,peer_group,231.19
1457435760,peer_group,231.07
1457435760,peer_group,229.10
1457435760,peer_group,218.51
1457435760,peer_group,216.73
1457435760,peer_group,215.81
1457435760,peer_group,212.73
1457435760,peer_group,211.31
1457435760,peer_group,211.02
1457435760,peer_group,198.33
1457435760,peer_group,189.36
1457435760,peer_group,181.80
1457435760,peer_group,172.11
1457435760,peer_group,170.12
1457435760,peer_group,168.62
1457435760,peer_group,168.05
1457435760,peer_group,153.66
1457435760,peer_group,150.99
1457435760,peer_group,148.86
1457435760,peer_group,148.09
1457435760,peer_group,140.12
1457435760,peer_group,136.76
1457435760,peer_group,136.64
1457435760,peer_group,136.07
1457435760,peer_group,128.59
1457435760,peer_group,126.44
1457435760,peer_group,124.74
1457435760,peer_group,123.99
1457435760,peer_group,122.12
1457435760,peer_group,120.26
1457435760,peer_group,116.61
1457435760,peer_group,105.15
1457435760,peer_group,103.66
1457435760,peer_group,99.98
1457435760,peer_group,99.21
1457435760,peer_group,94.17
1457435760,peer_group,93.38
1457435760,peer_group,89.40
1457435760,peer_group,89.10
1457435760,peer_group,89.08
1457435760,peer_group,85.91
1457435760,peer_group,83.96
1457435760,peer_group,82.31
1457435760,peer_group,82.07
1457435760,peer_group,81.49
1457435760,peer_group,80.64
1457435760,peer_group,77.50
1457435760,peer_group,76.84
1457435760,peer_group,72.26
1457435760,peer_group,67.08
1457435760,peer_group,63.39
1457435760,peer_group,63.16
1457435760,peer_group,51.25
1457435760,peer_group,47.00
1457435760,peer_group,45.48
1457435760,peer_group,44.74
1457435760,peer_group,42.81
1457435760,peer_group,37.08
1457435760,peer_group,36.61
1457435760,peer_group,32.85
1457435760,peer_group,31.07
1457435760,peer_group,18.59
1457435760,this_provider,24816436.51
1538169388,peer_group,53761887.93
1538169388,peer_group,2155442.93
1538169388,peer_group,215682.64
1538169388,peer_group,174135.20
1538169388,peer_group,146148.52
1538169388,peer_group,119498.76
1538169388,peer_group,113268.18
1538169388,peer_group,110903.33
1538169388,peer_group,69220.27
1538169388,peer_group,60195.43
1538169388,peer_group,59944.87
1538169388,peer_group,59338.23
1538169388,peer_group,40581.08
1538169388,peer_group,31727.66
1538169388,peer_group,30554.86
1538169388,peer_group,27528.97
1538169388,peer_group,25274.90
1538169388,peer_group,24957.98
1538169388,peer_group,20863.00
1538169388,peer_group,16280.93
